time,weighedTemp_solar,totalCap_solar,capUnc_solar,totalStation_solar,stationUnc_solar
2019-12-30 23:00:00-08:00,5.277740140794432,15863.920000000004,0.10581873836983542,784,0.06760204081632654
2019-12-30 22:00:00-08:00,5.66854828259352,15863.920000000002,0.09520345538807556,784,0.0663265306122449
2019-12-30 21:00:00-08:00,6.510367052300262,15863.920000000004,0.10597632867538412,784,0.06887755102040816
2019-12-30 20:00:00-08:00,6.547543630558877,15863.920000000004,0.10597632867538412,784,0.06887755102040816
2019-12-30 19:00:00-08:00,7.226967817174702,15863.920000000004,0.10597632867538412,784,0.06887755102040816
2019-12-30 18:00:00-08:00,8.377119386313055,15863.920000000002,0.10611500814426697,784,0.07142857142857142
2019-12-30 17:00:00-08:00,9.741125167157183,15863.920000000002,0.11049917044463158,784,0.07525510204081633
2019-12-30 16:00:00-08:00,11.373679474972985,15863.920000000002,0.09693694874911117,784,0.06760204081632654
2019-12-30 15:00:00-08:00,11.567265787911644,15863.920000000004,0.10581873836983542,784,0.06760204081632654
2019-12-30 14:00:00-08:00,11.498179731013673,15863.920000000002,0.09504586508252688,784,0.06505102040816327
2019-12-30 13:00:00-08:00,10.876658431810231,15863.920000000002,0.09520345538807556,784,0.0663265306122449
2019-12-30 12:00:00-08:00,10.076422290242942,15863.920000000004,0.10581873836983542,784,0.06760204081632654
2019-12-30 11:00:00-08:00,8.925417313313067,15863.920000000002,0.09504586508252688,784,0.06505102040816327
2019-12-30 10:00:00-08:00,7.875257971079295,15863.920000000002,0.09772490027685464,784,0.07015306122448979
2019-12-30 09:00:00-08:00,6.9263246257837565,15863.920000000004,0.10865536386971188,784,0.07397959183673469
2019-12-30 08:00:00-08:00,5.398618495965494,15863.920000000002,0.10207439270999852,784,0.08801020408163265
2019-12-30 07:00:00-08:00,4.956768023299903,15863.920000000002,0.10223198301554721,784,0.08928571428571429
2019-12-30 06:00:00-08:00,5.229729632947904,15863.920000000002,0.10223198301554721,784,0.08928571428571429
2019-12-30 05:00:00-08:00,5.303401642913531,15863.920000000002,0.10248412750442512,784,0.09438775510204081
2019-12-30 04:00:00-08:00,5.056471854424684,15863.920000000004,0.11325700079173368,784,0.09693877551020408
2019-12-30 03:00:00-08:00,4.874420464822619,15863.920000000004,0.11341459109728236,784,0.09821428571428571
2019-12-30 02:00:00-08:00,4.960082319448946,15863.920000000004,0.11341459109728236,784,0.09821428571428571
2019-12-30 01:00:00-08:00,5.50618369935555,15863.920000000004,0.11341459109728236,784,0.09821428571428571
2019-12-30 00:00:00-08:00,5.608310581369554,15863.920000000004,0.11341459109728236,784,0.09821428571428571
2019-12-29 23:00:00-08:00,5.992149008298777,15863.920000000004,0.11341459109728236,784,0.09821428571428571
2019-12-29 22:00:00-08:00,6.090058173927386,15863.920000000004,0.11341459109728236,784,0.09821428571428571
2019-12-29 21:00:00-08:00,6.286616389029772,15863.920000000002,0.10264171780997382,784,0.09566326530612244
2019-12-29 20:00:00-08:00,6.529480670474912,15863.920000000004,0.11300485630285577,784,0.09183673469387756
2019-12-29 19:00:00-08:00,7.086825817798199,15863.920000000002,0.10251564556553486,784,0.09438775510204081
2019-12-29 18:00:00-08:00,7.808197654503306,15863.920000000004,0.11300485630285577,784,0.09183673469387756
2019-12-29 17:00:00-08:00,8.730705933426153,15863.920000000002,0.10264171780997382,784,0.09566326530612244
2019-12-29 16:00:00-08:00,10.374378344886784,15863.920000000004,0.11284726599730707,784,0.09056122448979592
2019-12-29 15:00:00-08:00,10.916096952333854,15863.920000000004,0.11284726599730707,784,0.09056122448979592
2019-12-29 14:00:00-08:00,10.885724645515289,15863.920000000002,0.10207439270999852,784,0.08801020408163265
2019-12-29 13:00:00-08:00,10.444476160122205,15863.920000000002,0.10207439270999852,784,0.08801020408163265
2019-12-29 12:00:00-08:00,9.33920227308594,15863.920000000004,0.11325700079173368,784,0.09693877551020408
2019-12-29 11:00:00-08:00,8.243341753905117,15863.920000000004,0.11316244660840445,784,0.09566326530612244
2019-12-29 10:00:00-08:00,6.8079686927415395,15863.920000000002,0.10207439270999852,784,0.08801020408163265
2019-12-29 09:00:00-08:00,4.673727554683803,15863.920000000002,0.10207439270999852,784,0.08801020408163265
2019-12-29 08:00:00-08:00,2.587051883741066,15863.920000000004,0.11325700079173368,784,0.09693877551020408
2019-12-29 07:00:00-08:00,0.9843842281926881,15863.920000000004,0.11284726599730707,784,0.09056122448979592
2019-12-29 06:00:00-08:00,1.007833703078233,15863.920000000004,0.11461227741945242,784,0.09948979591836735
2019-12-29 05:00:00-08:00,1.1910663767407497,15863.920000000002,0.10248412750442512,784,0.09438775510204081
2019-12-29 04:00:00-08:00,1.4109796391895484,15863.920000000004,0.11325700079173368,784,0.09693877551020408
2019-12-29 03:00:00-08:00,1.5188613068727994,15863.920000000004,0.11341459109728236,784,0.09821428571428571
2019-12-29 02:00:00-08:00,2.0416918907929213,15863.920000000004,0.11325700079173368,784,0.09693877551020408
2019-12-29 01:00:00-08:00,1.9525273392110207,15863.920000000004,0.11357218140283105,784,0.10204081632653061
2019-12-29 00:00:00-08:00,2.547045357283552,15863.920000000004,0.11032582110852801,784,0.08673469387755102
2019-12-28 23:00:00-08:00,3.1816999168332605,15863.920000000004,0.11016823080297931,784,0.08545918367346939
2019-12-28 22:00:00-08:00,3.672618313653958,15863.920000000004,0.1104834114140767,784,0.09056122448979592
2019-12-28 21:00:00-08:00,4.224793322858386,15863.920000000004,0.11016823080297931,784,0.08545918367346939
