time,weighedTemp_hydro,totalCap_hydro,capUnc_hydro,totalStation_hydro,stationUnc_hydro
2019-12-30 23:00:00-08:00,5.85562214033505,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 22:00:00-08:00,5.947394368089861,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 21:00:00-08:00,6.195363738122789,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 20:00:00-08:00,6.389369074105955,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 19:00:00-08:00,6.9156554375673265,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 18:00:00-08:00,7.6585310719689454,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 17:00:00-08:00,8.593770517326723,16126.970000000001,0.1556665635268125,282,0.19858156028368795
2019-12-30 16:00:00-08:00,10.300921121733198,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 15:00:00-08:00,10.575333317352985,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 14:00:00-08:00,10.596468415933566,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 13:00:00-08:00,10.14187646584249,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-30 12:00:00-08:00,9.133427617381097,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 11:00:00-08:00,8.300104961825129,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-30 10:00:00-08:00,7.290780756466649,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-30 09:00:00-08:00,5.3923891186812405,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-30 08:00:00-08:00,3.8528558378833178,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-30 07:00:00-08:00,3.3234162772773774,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-30 06:00:00-08:00,3.314195303391994,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-30 05:00:00-08:00,3.5267820580736773,16126.970000000001,0.15020242488204538,282,0.2127659574468085
2019-12-30 04:00:00-08:00,3.36101480552728,16126.970000000001,0.1483793917890341,282,0.20567375886524822
2019-12-30 03:00:00-08:00,3.837535334696373,16126.970000000001,0.15020242488204538,282,0.2127659574468085
2019-12-30 02:00:00-08:00,4.035803077201478,16126.970000000001,0.15020242488204538,282,0.2127659574468085
2019-12-30 01:00:00-08:00,4.229926183517474,16126.970000000001,0.1483793917890341,282,0.20567375886524822
2019-12-30 00:00:00-08:00,4.880210052283979,16126.970000000001,0.1473965661249447,282,0.19858156028368795
2019-12-29 23:00:00-08:00,5.299901090261682,16126.970000000001,0.1473965661249447,282,0.19858156028368795
2019-12-29 22:00:00-08:00,5.505001269099215,16126.970000000001,0.1473965661249447,282,0.19858156028368795
2019-12-29 21:00:00-08:00,5.728852261578439,16126.970000000001,0.1473965661249447,282,0.19858156028368795
2019-12-29 20:00:00-08:00,5.842972067071327,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 19:00:00-08:00,6.423419267140606,16126.970000000003,0.15471970246115663,282,0.20212765957446807
2019-12-29 18:00:00-08:00,6.863924395151842,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 17:00:00-08:00,7.240272190872522,16126.970000000001,0.1473965661249447,282,0.19858156028368795
2019-12-29 16:00:00-08:00,8.159102408722125,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 15:00:00-08:00,8.657365856261098,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 14:00:00-08:00,8.84844070047534,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 13:00:00-08:00,8.638457650715464,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 12:00:00-08:00,8.239025200892225,16126.970000000001,0.1473965661249447,282,0.19858156028368795
2019-12-29 11:00:00-08:00,7.734319369632753,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 10:00:00-08:00,6.436954695778876,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 09:00:00-08:00,4.945313810155867,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 08:00:00-08:00,3.659298788137522,16126.970000000001,0.1473965661249447,282,0.19858156028368795
2019-12-29 07:00:00-08:00,3.4105839866013072,16126.970000000001,0.1399494139320653,282,0.1702127659574468
2019-12-29 06:00:00-08:00,3.590882504379485,16126.970000000001,0.14976836938370933,282,0.1950354609929078
2019-12-29 05:00:00-08:00,3.34056598266575,16126.970000000001,0.15020242488204538,282,0.2127659574468085
2019-12-29 04:00:00-08:00,3.3380960910320763,16126.970000000001,0.1483793917890341,282,0.20567375886524822
2019-12-29 03:00:00-08:00,3.805932215757268,16126.970000000001,0.15020242488204538,282,0.2127659574468085
2019-12-29 02:00:00-08:00,3.4614017421811267,16126.970000000001,0.15020242488204538,282,0.2127659574468085
2019-12-29 01:00:00-08:00,3.5362688919418384,16126.970000000001,0.1473965661249447,282,0.19858156028368795
2019-12-29 00:00:00-08:00,3.6770435776801045,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-28 23:00:00-08:00,4.334021287275068,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-28 22:00:00-08:00,4.757317001418619,16126.970000000001,0.1463424313432715,282,0.18085106382978725
2019-12-28 21:00:00-08:00,5.310667462778503,16126.970000000001,0.1463424313432715,282,0.18085106382978725
