time,weighedTemp_ng,totalCap_ng,capUnc_ng,totalStation_ng,stationUnc_ng
2019-12-30 23:00:00-08:00,10.721792751346785,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-30 22:00:00-08:00,10.369013415070857,40933.390000000014,0.024446790260958102,232,0.04741379310344827
2019-12-30 21:00:00-08:00,10.466163029437068,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-30 20:00:00-08:00,10.4232910181282,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-30 19:00:00-08:00,11.147270948437544,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-30 18:00:00-08:00,11.80734231410538,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-30 17:00:00-08:00,13.072132920786485,40933.390000000014,0.027256232625736586,232,0.04741379310344827
2019-12-30 16:00:00-08:00,14.569867715857068,40933.39000000001,0.024532295028581796,232,0.05172413793103448
2019-12-30 15:00:00-08:00,14.90564167303159,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-30 14:00:00-08:00,14.751466472368909,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-30 13:00:00-08:00,14.27032772639967,40933.390000000014,0.024446790260958102,232,0.04741379310344827
2019-12-30 12:00:00-08:00,13.511445010873235,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-30 11:00:00-08:00,12.282844108596425,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-30 10:00:00-08:00,11.331437402819823,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-30 09:00:00-08:00,9.987329142419174,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-30 08:00:00-08:00,8.166181998913334,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-30 07:00:00-08:00,7.695396179071287,40933.390000000014,0.024446790260958102,232,0.04741379310344827
2019-12-30 06:00:00-08:00,8.070989990659285,40933.390000000014,0.024446790260958102,232,0.04741379310344827
2019-12-30 05:00:00-08:00,8.328412617336069,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-30 04:00:00-08:00,8.408030688655044,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-30 03:00:00-08:00,8.595583297591283,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-30 02:00:00-08:00,8.691504846114608,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-30 01:00:00-08:00,8.900138366152573,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-30 00:00:00-08:00,8.858728919591805,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-29 23:00:00-08:00,9.155593931380338,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-29 22:00:00-08:00,9.063885139850822,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-29 21:00:00-08:00,9.265167369098508,40933.390000000014,0.024446790260958102,232,0.04741379310344827
2019-12-29 20:00:00-08:00,9.600667771497893,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-29 19:00:00-08:00,9.981638030987137,40933.390000000014,0.024446790260958102,232,0.04741379310344827
2019-12-29 18:00:00-08:00,10.730169556908537,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-29 17:00:00-08:00,11.377719112406625,40933.390000000014,0.024446790260958102,232,0.04741379310344827
2019-12-29 16:00:00-08:00,12.421624362133237,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 15:00:00-08:00,13.364252842646422,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 14:00:00-08:00,13.423653674255798,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-29 13:00:00-08:00,13.386288512144864,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-29 12:00:00-08:00,12.907217873210737,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 11:00:00-08:00,11.892049242933668,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 10:00:00-08:00,10.344874945854523,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-29 09:00:00-08:00,8.36568135667911,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-29 08:00:00-08:00,6.407932360113376,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 07:00:00-08:00,5.245725537761967,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 06:00:00-08:00,5.228176390081212,40933.39,0.10928217770382567,232,0.07327586206896551
2019-12-29 05:00:00-08:00,5.238926329600113,40933.390000000014,0.024300210659317485,232,0.04310344827586207
2019-12-29 04:00:00-08:00,5.637424553461546,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 03:00:00-08:00,5.810733173107427,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-29 02:00:00-08:00,5.911162230674952,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 01:00:00-08:00,6.086095785955893,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-29 00:00:00-08:00,6.279518662426686,40933.390000000014,0.0373946550725459,232,0.05172413793103448
2019-12-28 23:00:00-08:00,6.661385861497588,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-28 22:00:00-08:00,7.056746124586703,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-28 21:00:00-08:00,7.501009802404038,40933.390000000014,0.03724807547090528,232,0.04741379310344827
2019-12-28 20:00:00-08:00,8.195117321809652,40933.390000000014,0.03724807547090528,232,0.04741379310344827
